,keyword,identity,general,labeller,label
482,motherfucker,0,1,A1,general
483,penis,0,1,A1,general
484,faggots who,1,0,A4,identity
485,jap,1,0,A4,identity
486,ass white,1,0,A4,identity
487,flange,1,0,A4,identity
488,spac,1,0,A4,identity
489,asses,0,1,A1,general
490,buttplug,0,1,A1,general
491,m0f0,0,1,A4,general
492,is white,1,0,A1,identity
493,a faggot for,1,0,A4,identity
494,jack-off,0,1,A4,general
495,semen,0,1,A1,general
496,dumb nigger,1,0,A4,identity
497,niggas like,1,0,A4,identity
498,cyberfucked,0,1,A4,general
499,shitey,0,1,A4,general
500,faggot for,1,0,A4,identity
501,whites,1,0,A1,identity
502,nigg4h,1,0,A4,identity
503,ejaculation,0,1,A1,general
504,mothafuckings,0,1,A4,general
505,a nigger,0,1,A1,general
506,sluts,1,0,A4,identity
507,fucking nigger,1,0,A1,identity
508,shitted,0,1,A1,general
509,stupid nigger,1,0,A4,identity
510,phukking,0,1,A4,general
511,cockmunch,1,0,A4,identity
512,cyberfucker,0,1,A4,general
513,mothafucked,0,1,A4,general
514,fuck u talking,0,1,A4,general
515,a_s_s,1,0,A4,identity
516,you a lame bitch,1,0,A4,identity
517,doggin,0,1,A1,general
518,fuck you too,0,1,A1,general
519,a faggot and,1,0,A4,identity
520,white ass,1,0,A4,identity
521,all white,1,0,A1,identity
522,bitcher,0,1,A4,general
523,b1tch,1,0,A1,identity
524,cum,0,1,A1,general
525,sadist,0,1,A1,general
526,wigerette,1,0,A4,identity
527,you a nigger,1,0,A4,identity
528,your faggot,1,0,A4,identity
529,biggest faggot,1,0,A4,identity
530,hate fat,0,1,A1,general
531,shitting,0,1,A1,general
532,faggot ass,1,0,A1,identity
533,kum,0,1,A1,general
534,boobs,1,0,A1,identity
535,l3i+ch,1,0,A4,identity
536,ass-fucker,1,0,A4,identity
537,mothafucking,0,1,A4,general
538,buttmuch,0,1,A4,general
539,mutherfucker,0,1,A4,general
540,nigg3r,1,0,A4,identity
541,knobjocky,1,0,A4,identity
542,fooker,0,1,A1,general
543,the niggers,1,0,A4,identity
544,bamboo coon,1,0,A4,identity
545,pimpis,1,0,A4,identity
546,house nigger,1,0,A4,identity
547,mof0,0,1,A4,general
548,full of white,1,0,A4,identity
549,assholes,0,1,A1,general
550,bint,1,0,A4,identity
551,f_u_c_k,0,1,A4,general
552,allah akbar,1,0,A1,identity
553,motherfucking,0,1,A1,general
554,fatass,0,1,A1,general
555,fingerfucks,0,1,A0,general
556,mothafucka,0,1,A1,general
557,phuq,0,1,A0,general
558,pissing,0,1,A1,general
559,surrender monkey,1,0,A0,identity
560,mothafuckas,1,0,A1,identity
561,titties,0,1,A1,general
562,buceta,1,0,A0,identity
563,queers,1,0,A0,identity
564,wigger,1,0,A0,identity
565,cawk,0,1,A0,general
